Name,State,State_ID,Latitude,Longitude,Population,Density,Timezone,join_key
Atlantic City,New Jersey,NJ,393.797,-744.527,237054,1354.0,America/New_York,ATLANTIC CITY_NJ
Auckland,Auckland,AUK,-368.509,1.747.645,1470100,2700.0,Pacific/Auckland,AUCKLAND_AUK
Augusta,Georgia,GA,333.645,-820.708,390809,252.0,America/New_York,AUGUSTA_GA
Austin,Texas,TX,303.004,-977.522,1687311,1181.0,America/Chicago,AUSTIN_TX
Bakersfield,California,CA,353.529,-1.190.359,579295,990.0,America/Los_Angeles,BAKERSFIELD_CA
Baltimore,Maryland,MD,393.051,-766.144,2106068,2830.0,America/New_York,BALTIMORE_MD
Bangor,Maine,ME,448.322,-687.906,59772,363.0,America/New_York,BANGOR_ME
Barrow,Alaska,AK,71.2906,-156.7886,4900,50.0,America/Anchorage,BARROW_AK
Baton Rouge,Louisiana,LA,304.418,-91.131,570308,983.0,America/Chicago,BATON ROUGE_LA
Beaumont/Port Arthur,Texas,TX,29.9508,-94.0207,115000,550.0,America/Chicago,BEAUMONT/PORT ARTHUR_TX
Bellingham,Washington,WA,487.543,-1.224.687,130641,1287.0,America/Los_Angeles,BELLINGHAM_WA
Bemidji,Minnesota,MN,474.828,-948.796,16807,409.0,America/Chicago,BEMIDJI_MN
Bethel,Alaska,AK,607.928,-1.617.917,6586,57.0,America/Anchorage,BETHEL_AK
Billings,Montana,MT,457.891,-1.085.524,120728,948.0,America/Denver,BILLINGS_MT
Binghamton,New York,NY,421.014,-759.093,148145,1635.0,America/New_York,BINGHAMTON_NY
Birmingham,Alabama,AL,335.277,-867.987,739573,553.0,America/Chicago,BIRMINGHAM_AL
Bismarck,North Dakota,ND,468.144,-1.007.694,98345,827.0,America/Chicago,BISMARCK_ND
Bloomington,Illinois,IL,404.757,-889.703,133846,1100.0,America/Chicago,BLOOMINGTON_IL
Boise,Idaho,ID,436.007,-1.162.312,389280,1056.0,America/Boise,BOISE_ID
Boston,Massachusetts,MA,423.188,-710.846,4688346,5532.0,America/New_York,BOSTON_MA
Bozeman,Montana,MT,456.832,-1.110.552,57695,945.0,America/Denver,BOZEMAN_MT
Brainerd,Minnesota,MN,463.553,-941.982,19583,426.0,America/Chicago,BRAINERD_MN
Brisbane,Queensland,QLD,-274.705,153.026,2280000,145.0,Australia/Brisbane,BRISBANE_QLD
Bristol,Tennessee,TN,365.572,-822.154,70243,318.0,America/New_York,BRISTOL_TN
Brownsville,Texas,TX,25.998,-974.565,227239,533.0,America/Matamoros,BROWNSVILLE_TX
Brunswick,Georgia,GA,31.145,-81.474,53914,367.0,America/New_York,BRUNSWICK_GA
Buenos Aires,Buenos Aires,ARG,-34.6037,-58.3816,15000000,15000.0,America/Argentina/Buenos_Aires,BUENOS AIRES_ARG
Buffalo,New York,NY,429.016,-788.487,914341,2441.0,America/New_York,BUFFALO_NY
Burbank,California,CA,341.879,-1.183.235,102511,2285.0,America/Los_Angeles,BURBANK_CA
Burlington,Vermont,VT,444.877,-732.314,109763,1604.0,America/New_York,BURLINGTON_VT
Butte,Montana,MT,45.902,-1.126.571,34207,18.0,America/Denver,BUTTE_MT
Cancún,Mexico,MX,21.0405,-86.8483,888797,1500.0,America/Cancun,CANCÚN_MX
Casper,Wyoming,WY,42.842,-1.063.207,67598,843.0,America/Denver,CASPER_WY
Cedar City,Utah,UT,376.834,-1.130.956,39995,374.0,America/Denver,CEDAR CITY_UT
Cedar Rapids,Iowa,IA,419.665,-916.782,188038,720.0,America/Chicago,CEDAR RAPIDS_IA
Champaign/Urbana,Illinois,IL,40.0397,-88.2789,126000,1200.0,America/Chicago,CHAMPAIGN/URBANA_IL
Chantilly,Virginia,VA,388.868,-774.453,24368,783.0,America/New_York,CHANTILLY_VA
Charleston,West Virginia,WV,38.3498,-81.6326,46536,580.0,America/New_York,CHARLESTON_WV
Charleston,South Carolina,SC,328.153,-799.628,628377,480.0,America/New_York,CHARLESTON_SC
Charlotte,North Carolina,NC,35.208,-808.304,1512923,1113.0,America/New_York,CHARLOTTE_NC
Charlotte Amalie,Virgin Islands,VI,18.3419,-64.9307,18000,800.0,America/St_Thomas,CHARLOTTE AMALIE_VI
Charlottesville,Virginia,VA,380.375,-784.855,100416,1781.0,America/New_York,CHARLOTTESVILLE_VA
Chattanooga,Tennessee,TN,350.657,-852.488,415501,493.0,America/New_York,CHATTANOOGA_TN
Chicago,Illinois,IL,418.373,-876.862,8604203,4574.0,America/Chicago,CHICAGO_IL
Christiansted,Virgin Islands,VI,17.7466,-64.7032,3000,500.0,America/St_Thomas,CHRISTIANSTED_VI
