ORIGIN_AIRPORT,DESTINATION_AIRPORT,num_voli,mean_scheduled_time
ATL,HOU,4039,136.31146323347363
ATL,HPN,1840,135.53152173913043
ATL,HSV,2450,57.683673469387756
ATL,IAD,2615,107.4508604206501
ATL,IAH,3783,136.05656886069258
ATL,ICT,966,140.564182194617
ATL,ILM,1605,80.64797507788163
ATL,IND,3798,93.22116903633491
ATL,JAC,103,247.48543689320388
ATL,JAN,2285,81.10940919037199
ATL,JAX,5099,69.59913708570308
ATL,JFK,1898,143.40885142255004
ATL,LAS,4091,268.8450256660963
ATL,LAX,5651,297.31481153778094
ATL,LEX,2264,73.72349823321555
ATL,LFT,1192,104.76006711409396
ATL,LGA,8062,136.5930290250558
ATL,LIT,1970,97.12893401015228
ATL,LNK,320,150.0625
ATL,MCI,3467,133.19411595038937
ATL,MCO,8176,89.05980919765166
ATL,MDT,951,114.13459516298633
ATL,MDW,4485,119.12084726867336
ATL,MEM,3099,83.86156824782188
ATL,MGM,2191,53.50707439525331
ATL,MHT,331,155.01510574018127
ATL,MIA,5129,116.28114642230454
ATL,MKE,3148,124.9374205844981
ATL,MLB,1328,90.13328313253012
ATL,MLI,757,115.23910171730515
ATL,MLU,1197,94.3984962406015
ATL,MOB,2244,76.25445632798574
ATL,MSN,893,128.3684210526316
ATL,MSP,4706,161.11347216319592
ATL,MSY,5558,95.38377114069809
ATL,MYR,1414,74.2963224893918
ATL,OAJ,1125,80.14933333333333
ATL,OAK,64,334.359375
ATL,OKC,1964,138.0
ATL,OMA,1612,147.75496277915633
ATL,ORD,6417,127.08290478416706
ATL,ORF,2660,97.5748120300752
ATL,PBI,4189,110.40988302697541
ATL,PDX,1087,321.5722171113155
ATL,PHF,1247,98.24218123496391
ATL,PHL,6561,124.6064624295077
ATL,PHX,3646,250.97613823368076
ATL,PIA,891,108.75196408529742
ATL,PIT,3249,102.25700215450908
ATL,PNS,2261,74.23971693940734
ATL,PVD,941,146.2518597236982
ATL,PWM,608,159.8453947368421
ATL,RDU,4694,83.24392841925862
ATL,RIC,3553,94.5054883197298
ATL,ROA,1477,83.17806364251862
ATL,ROC,969,128.30959752321982
ATL,RST,316,147.6993670886076
ATL,RSW,3911,102.22833035029404
ATL,SAN,2045,283.9349633251834
ATL,SAT,2856,155.47934173669466
ATL,SAV,3129,64.54426334292106
ATL,SBN,1110,111.41531531531531
ATL,SDF,2728,81.50586510263929
ATL,SEA,2670,327.3501872659176
ATL,SFO,3121,320.6404998397949
ATL,SGF,1288,112.78183229813665
ATL,SHV,2017,109.69013386217154
ATL,SJC,275,314.0109090909091
ATL,SJU,1418,212.7990126939351
ATL,SLC,2543,249.30633110499411
ATL,SMF,555,308.772972972973
ATL,SNA,965,290.1139896373057
ATL,SRQ,1929,91.50336962156558
ATL,STL,3516,103.03270762229806
ATL,STT,632,218.9509493670886
ATL,SYR,962,131.97401247401248
ATL,TLH,2094,66.14278892072588
ATL,TPA,7054,86.14077119364899
ATL,TRI,1918,64.11105318039624
ATL,TTN,322,118.3416149068323
ATL,TUL,1514,126.17173051519154
ATL,TUS,617,240.86223662884927
ATL,TYS,1704,54.02582159624413
ATL,VLD,928,61.0948275862069
ATL,VPS,2194,73.02278942570648
ATL,XNA,1568,115.44770408163265
ATW,ATL,415,134.92530120481928
ATW,DTW,474,79.32911392405063
ATW,MSP,518,69.72200772200772
ATW,ORD,1373,61.674435542607426
AUS,ATL,3155,130.58700475435816
AUS,BNA,626,117.66773162939297
AUS,BOS,397,225.05037783375315
AUS,BWI,633,189.46287519747236
AUS,CLT,421,155.41567695961996
AUS,DAL,3842,56.13092139510672
AUS,DCA,331,183.71601208459214
AUS,DEN,2841,135.89545934530096
AUS,DFW,4578,67.33988641328091
AUS,DTW,317,174.8832807570978
AUS,ELP,862,96.14269141531322
AUS,EWR,932,220.84442060085837
AUS,FLL,787,156.2287166454892
AUS,HOU,1305,51.019157088122604
AUS,HRL,325,62.0
AUS,IAD,109,190.88990825688074
AUS,IAH,2054,59.024829600778965
AUS,JFK,1564,219.9309462915601
AUS,LAS,1182,177.43147208121826
AUS,LAX,2577,200.47458284827317
AUS,LBB,314,70.0
AUS,LGB,473,185.46723044397464
AUS,MCO,995,148.32060301507536
AUS,MDW,872,153.85321100917432
AUS,MIA,206,163.54368932038835
AUS,MSP,124,165.2016129032258
AUS,MSY,341,79.48680351906158
AUS,OAK,334,236.03293413173654
AUS,ORD,2245,163.09977728285077
AUS,PDX,99,258.24242424242425
AUS,PHL,266,203.68045112781954
AUS,PHX,1574,149.3831003811944
AUS,SAN,627,182.82296650717703
AUS,SEA,459,261.34204793028323
AUS,SFO,2040,235.6156862745098
AUS,SJC,601,232.45424292845257
AUS,SLC,586,176.8532423208191
AUS,SNA,156,187.6602564102564
AUS,STL,156,118.0448717948718
AUS,TPA,337,134.2433234421365
AVL,ATL,1838,63.27856365614799
AVL,EWR,165,113.18787878787879
AVL,ORD,698,115.30945558739255
AVP,ATL,326,133.27914110429447
AVP,DTW,468,100.28632478632478
AVP,EWR,53,57.35849056603774
AVP,ORD,490,130.77142857142857
AZO,DTW,371,58.24797843665768
AZO,MSP,115,102.05217391304348
AZO,ORD,1268,61.3801261829653
BDL,ATL,2318,160.31147540983608
BDL,BWI,2177,76.93385392742306
BDL,CLE,130,98.65384615384616
BDL,CLT,1605,130.1183800623053
BDL,DCA,653,87.85604900459418
BDL,DEN,344,268.4593023255814
BDL,DFW,623,246.2263242375602
